gpu_name,gpu_price,gpu_date
2021 Newst ASUS TUF Gaming GeForce RTX 3060 OC Edition Graphics Card,1119,2022-05-21
2021 Newst ASUS TUF Gaming GeForce RTX 3060 OC Edition Graphics Card,1119,2022-05-21
Asus Dual GeForce RTX 3050 OC 8GB GDDR6 ,374.94,2022-05-21
Asus DUAL GeForce RTX 3060 OC LHR V2 12GB GDDR6 ,483.95,2022-05-21
Asus DUAL GeForce RTX 3060 Ti OC LHR V2 8GB GDDR6 ,619.96,2022-05-21
Asus DUAL GeForce RTX 3070 LHR V2 8GB GDDR6 ,689.94,2022-05-21
Asus DUAL GeForce RTX 3070 OC LHR V2 8GB GDDR6 ,699.95,2022-05-21
ASUS Dual NVIDIA GeForce RTX 3050 OC Edition Gaming Graphics Card - PCIe 4.0,379,2022-05-21
ASUS Dual NVIDIA GeForce RTX 3060 V2 OC Edition 12GB GDDR6 Gaming Graphics Card ,515,2022-05-21
ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Gaming Graphics Card ,1200,2022-05-21
Asus DUAL RTX 3060 Ti OC LHR MINI V2 8GB GDDR6 ,599.94,2022-05-21
Asus GeForce RTX 3070 NOCTUA OC LHR 8GB GDDR6 ,849.95,2022-05-21
Asus GeForce TUF RTX 3090 GAMING 24GB GDDR6X ,2099.96,2022-05-21
Asus GeForce TUF RTX 3090 OC GAMING 24GB GDDR6X ,2024.95,2022-05-21
ASUS KO NVIDIA GeForce RTX 3060 V2 OC Edition 12GB GDDR6 Gaming Graphics Card ,548,2022-05-21
Asus Phoenix GeForce RTX 3050 8GB GDDR6 ,359.94,2022-05-21
Asus Phoenix GeForce RTX 3060 LHR V2 12GB GDDR6 ,429.95,2022-05-21
ASUS Phoenix NVIDIA GeForce RTX 3060 V2 Gaming Graphics Card- PCIe 4.0,463,2022-05-21
Asus ROG Strix GeForce RTX 3050 OC 8GB GDDR6 ,479.95,2022-05-21
Asus ROG Strix GeForce RTX 3060 OC V2 GAMING 12GB GDDR6 ,569.95,2022-05-21
Asus ROG Strix GeForce RTX 3060 Ti OC LHR V2 GAMING 8GB GDDR6 ,719.95,2022-05-21
Asus ROG Strix GeForce RTX 3070 OC LHR V2 GAMING 8GB GDDR6 ,859.95,2022-05-21
Asus ROG Strix GeForce RTX 3080 LHR OC 12GB GDDR6X ,1399.95,2022-05-21
Asus ROG Strix GeForce RTX 3080 OC LHR V2 White 10GB GDDR6X ,1129.95,2022-05-21
Asus ROG Strix GeForce RTX 3080 Ti Gaming OC 12GB GDDR6X ,1699.94,2022-05-21
Asus ROG Strix GeForce RTX 3090 OC Gaming 24GB GDDR6X ,1849.94,2022-05-21
Asus ROG Strix GeForce RTX 3090 OC White 24GB GDDR6X ,2249.87,2022-05-21
Asus ROG Strix LC GeForce RTX 3090 Ti Gaming 24GB GDDR6X ,2422.95,2022-05-21
Asus ROG Strix LC GeForce RTX 3090 Ti OC Gaming 24GB GDDR6X ,2434.96,2022-05-21
ASUS ROG Strix NVIDIA GeForce RTX 3050 OC Edition Gaming Graphics Card - PCIe 4.0,429,2022-05-21
ASUS ROG Strix NVIDIA GeForce RTX 3060 Ti V2 OC Edition Gaming Graphics Card ,726,2022-05-21
ASUS ROG Strix NVIDIA GeForce RTX 3060 V2 OC Edition Gaming Graphics Card ,555,2022-05-21
ASUS ROG Strix NVIDIA GeForce RTX 3070 V2 OC Edition Gaming Graphics Card ,919,2022-05-21
ASUS ROG Strix NVIDIA GeForce RTX 3070 V2 OC Edition Gaming Graphics Card ,919,2022-05-21
ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Edition Gaming Graphics Card ,1199,2022-05-21
ASUS ROG STRIX NVIDIA GeForce RTX 3090 Gaming Graphics Card- PCIe 4.0,1974,2022-05-21
ASUS ROG STRIX NVIDIA GeForce RTX™ 3090 White OC Edition Gaming Graphics Card ,1999,2022-05-21
Asus TUF Gaming GeForce RTX 3070 OC 8GB GDDR6 ,734.95,2022-05-21
Asus TUF Gaming GeForce RTX 3080 LHR 12GB GDDR6X ,1399.95,2022-05-21
Asus TUF Gaming GeForce RTX 3080 LHR OC 12GB GDDR6X ,1404.96,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3060 OC Edition Graphics Card ,814,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3060 Ti V2 OC Edition Graphics Card ,703,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card ,699,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3070 V2 OC Edition Graphics Card ,659,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card ,1049,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti Graphics Card ,1826,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti OC Edition Graphics Card ,1249,2022-05-21
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card ,1069,2022-05-21
Asus TUF GeForce RTX 3060 LHR V2 GAMING 12GB GDDR6 ,499.95,2022-05-21
Asus TUF GeForce RTX 3060 OC LHR V2 GAMING 12GB GDDR6 ,529.94,2022-05-21
Asus TUF GeForce RTX 3060 Ti OC LHR V2 GAMING 8GB GDDR6 ,649.94,2022-05-21
Asus TUF GeForce RTX 3070 OC V2 GAMING 8GB GDDR6 ,739.95,2022-05-21
Asus TUF GeForce RTX 3070 Ti Gaming 8GB GDDR6X ,919.95,2022-05-21
Asus TUF GeForce RTX 3070 Ti OC Gaming 8GB GDDR6X ,784.95,2022-05-21
Asus TUF GeForce RTX 3080 OC LHR V2 GAMING 10GB GDDR6X ,1049.95,2022-05-21
Asus TUF GeForce RTX 3080 Ti Gaming 12GB GDDR6X ,1734.95,2022-05-21
Asus TUF GeForce RTX 3080 Ti Gaming OC 12GB GDDR6X ,1399.95,2022-05-21
Asus TUF GeForce RTX 3090 Ti Gaming 24GB GDDR6X ,2249.95,2022-05-21
Asus TUF GeForce RTX 3090 Ti OC Gaming 24GB GDDR6X ,2419.94,2022-05-21
Asus Turbo GeForce RTX 3080 LHR V2 10GB GDDR6X OEM ,1129.95,2022-05-21
EVGA GeForce RTX 3050 XC Gaming,329,2022-05-21
EVGA GeForce RTX 3060 Ti FTW3 ULTRA GAMING LHR 8GB GDDR6 ,629.94,2022-05-21
EVGA GeForce RTX 3060 Ti XC Gaming,610,2022-05-21
EVGA GeForce RTX 3060 XC Black Gaming,650,2022-05-21
EVGA GeForce RTX 3060 XC Gaming,518,2022-05-21
EVGA GeForce RTX 3060 XC Gaming 12GB GDDR6 ,499.95,2022-05-21
EVGA GeForce RTX 3070 FTW3 Ultra Gaming,689,2022-05-21
EVGA GeForce RTX 3070 FTW3 ULTRA GAMING 8GB LHR GDDR6 ,799.94,2022-05-21
EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming,829,2022-05-21
EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING 8GB GDDR6X ,934.95,2022-05-21
EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming,1399,2022-05-21
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X ,1699.95,2022-05-21
EVGA GeForce RTX 3080 XC3 BLACK GAMING 10GB GDDR6X ,999.94,2022-05-21
EVGA GeForce RTX 3090 FTW3 Ultra Gaming,1799,2022-05-21
EVGA GeForce RTX 3090 FTW3 Ultra Gaming 24GB GDDR6X ,2199.95,2022-05-21
EVGA GeForce RTX 3090 Ti FTW3 24GB GDDR6X ,2599.94,2022-05-21
EVGA GeForce RTX 3090 Ti FTW3 BLACK 24GB GDDR6X ,3199.95,2022-05-21
EVGA GeForce RTX 3090 Ti FTW3 ULTRA GAMING 24GB GDDR6X ,2649.95,2022-05-21
GIGABYTE AORUS GeForce RTX 3060 Elite 12G ,519,2022-05-21
GIGABYTE AORUS GeForce RTX 3060 Elite 12G Graphics Card,706,2022-05-21
Gigabyte AORUS GeForce RTX 3070 Ti MASTER LHR 8GB ,1039.95,2022-05-21
Gigabyte AORUS GeForce RTX 3080 Ti MASTER 12GB GDDR6X ,1859.94,2022-05-21
Gigabyte AORUS GeForce RTX 3090 Ti XTREME WB 24GB GDDR6X ,2459.95,2022-05-21
GIGABYTE AORUS RTX 3080 Gaming Box ,1103,2022-05-21
Gigabyte GeForce RTX 3050 EAGLE Gaming 8GB GDDR6 ,309.95,2022-05-21
